# ra dec dm_bonsai
26.240661 65.719723 150.263930
150.182249 83.561463 614.565731
21.863392 24.670473 652.242590
127.504575 23.292764 191.093754
70.391215 78.941312 238.385351
283.397855 17.443881 195.605968
45.107846 21.411596 433.972064
25.730497 13.165850 1329.681402
172.186928 16.057722 959.104250
196.370506 80.917020 236.177293
57.485000 22.848001 574.217366
166.541287 10.427225 474.843654
354.832939 11.692701 1769.930297
118.173112 55.581752 694.959264
65.224314 84.842322 179.403747
342.890958 17.087549 266.189841
130.569554 61.889795 536.296383
138.761553 70.741477 376.238958
196.109944 2.478863 340.588841
161.263938 61.526000 413.398092
255.667367 75.863471 1419.184138
341.510645 83.370693 627.313081
200.230099 74.385260 1004.362290
50.358944 79.496122 272.924744
244.949137 9.361621 146.755452
90.563255 80.881262 653.420300
140.781037 83.562260 188.421006
283.659833 46.962903 508.155071
143.911951 77.670609 378.841250
104.245418 23.700015 508.085978
302.825175 89.088487 589.599266
144.121126 77.670208 381.013446
312.296806 86.646990 522.836507
66.939732 68.639545 1084.028334
299.553063 61.362637 176.321889
139.979323 52.112075 559.054329
172.625054 28.131444 993.379150
178.735418 66.719556 1104.381167
264.588244 81.629248 251.166813
33.530103 20.082788 607.323084
64.279243 44.999967 180.948738
275.795321 81.580062 248.675666
336.436437 52.711031 1112.118236
95.995372 66.242513 427.499074
219.122480 19.359742 510.458143
335.130050 45.265675 139.576983
256.262177 68.280986 1239.125608
94.904651 43.113987 687.520944
22.643646 26.953195 800.340442
184.018677 56.420815 1253.474782
268.776360 17.932063 465.902957
157.531909 77.948677 275.496402
105.806129 43.126927 578.237176
246.262823 57.920956 1642.944585
349.669863 49.214887 682.156856
237.003451 74.155874 175.028087
132.691955 9.896303 171.298956
286.824873 27.856322 226.311845
316.121723 54.672643 1821.345245
24.755291 60.934857 282.595395
160.768517 19.620092 464.715476
239.218435 40.027851 494.434613
313.032157 69.686917 372.758042
313.961170 26.566102 780.125751
62.875425 87.613816 330.571687
311.562961 60.561170 411.935544
59.851323 83.377903 752.472415
269.079381 82.575806 787.777566
124.122957 19.784458 437.422051
338.708317 89.041576 697.428703
182.979632 61.541759 402.605297
58.907172 31.937037 510.050181
273.507474 61.812871 582.447813
17.513813 26.760934 783.063603
108.381533 56.343160 330.437537
220.574232 39.801348 307.289402
185.359270 22.866387 398.610448
51.953076 81.922452 1044.178534
69.284318 74.079061 538.387778
171.882290 34.927221 782.449010
278.485886 74.682702 1107.914977
309.135091 69.847033 378.500527
34.737166 61.338878 824.102405
128.622292 66.032492 146.376460
173.302946 26.321884 1066.609701
179.428203 70.840573 674.203192
208.076001 48.252436 192.647516
129.090245 74.558302 435.196742
204.920460 24.185884 447.230195
223.073946 26.717284 542.849557
254.641600 9.851135 297.080806
269.459580 38.400914 238.839242
188.632452 44.382656 477.466237
39.665240 83.726470 111.555936
278.947198 52.407361 298.129380
101.748798 74.138421 1131.225325
190.346207 65.126059 330.048971
5.309675 20.508746 476.875492
87.462822 44.657583 1019.389845
100.999619 49.728478 343.510659
125.868871 32.073870 544.375112
238.092223 47.048592 1084.095842
274.449832 13.243136 665.505528
323.880766 74.459979 333.550800
113.530305 5.721081 1931.948465
61.524039 63.361536 469.810614
250.430607 39.628012 451.917657
254.796549 22.381339 321.680437
262.173688 59.068841 1095.123181
67.217317 89.213587 243.387731
110.736561 51.295952 996.714077
131.815458 73.337521 529.913438
296.208703 70.702894 1126.325677
112.415908 34.463675 784.768783
192.936527 77.248140 749.195197
199.530126 40.071995 357.526118
56.888819 46.924589 600.651521
129.758917 83.071919 307.976159
183.980876 30.322971 1713.768895
53.799199 60.171479 610.040073
161.680181 74.213084 242.256860
4.976015 21.798282 774.945802
281.346544 34.277244 257.593424
120.354803 59.101905 1251.817448
198.019816 86.824607 514.164173
74.613378 81.960985 408.011502
87.621000 76.271215 339.798280
279.780584 51.627460 1196.023328
64.949393 73.642794 100.326537
204.122451 38.355600 484.121534
269.401176 52.811322 618.954587
196.364944 79.908867 740.413829
178.623106 47.096634 1264.940226
81.805864 25.776860 699.761712
114.946906 86.372003 464.276745
135.568500 1.453079 238.271052
249.789467 58.701474 895.816842
325.737672 84.277940 550.485436
237.966777 86.132870 175.286345
43.243097 33.134622 596.631008
143.142174 36.901663 1313.546582
259.821140 39.998681 444.591729
337.097214 20.955608 377.672993
242.853624 89.203185 1059.939097
283.661778 46.965779 508.366226
262.038503 71.597969 817.164834
79.619942 6.723178 1706.983431
126.579213 63.466731 237.602699
252.431176 71.614021 631.595236
336.860440 26.951821 1245.593011
263.580195 -2.370715 154.151694
265.847008 15.170506 563.480935
79.272364 83.878761 399.942526
154.088415 29.229601 1194.191217
9.406835 20.501778 194.888773
243.387580 61.867594 326.912419
285.719647 19.244150 108.711697
181.471520 38.902432 791.658668
246.860759 57.523902 468.058344
182.206970 71.277096 596.197726
8.834888 54.847974 567.691706
74.848531 34.796000 481.700000
145.039914 33.296862 2247.927337
172.232625 35.955436 554.804206
174.785499 64.723521 1126.165512
294.700654 59.404126 1301.937144
45.514651 71.252070 197.978012
65.877776 16.041189 114.235528
104.876561 64.881770 377.406421
257.013323 86.725575 112.547516
94.567073 70.118368 779.351512
106.521762 55.958914 542.925771
248.137647 37.252044 594.603271
208.112793 48.246930 193.627970
82.425991 62.310779 295.428734
158.283088 45.674455 943.300000
48.600099 35.151988 373.066681
179.462543 55.242625 211.089138
298.638060 26.196640 105.111450
347.556554 86.960165 795.521636
28.769753 84.791393 429.034276
168.218085 63.782157 723.182168
255.790308 21.523483 79.229286
216.342352 88.698093 978.087384
114.997468 59.123379 284.608393
79.029316 7.764639 370.389735
170.804550 23.327228 942.420469
281.037792 59.423677 413.246311
330.026360 3.959239 253.467052
237.650524 62.273451 2582.748495
79.653110 87.017554 282.386946
277.289051 24.921064 301.015916
261.430747 54.362593 740.524538
164.957503 59.947301 590.819086
211.966965 64.437439 884.456978
156.408548 82.967367 348.979157
310.124874 55.465003 293.347754
0.933523 3.405722 789.670495
31.789467 20.080789 608.290675
67.245618 -5.014726 378.210399
167.431902 7.363613 1202.085687
339.969223 41.835269 1086.800000
64.809559 73.645199 101.357663
87.558557 26.623523 148.218239
175.185520 20.278107 887.645688
242.112516 4.644704 402.091798
165.312821 89.231024 148.691856
29.528503 65.732569 151.097330
29.327183 65.720386 151.704598
94.533593 75.517660 461.802738
164.589895 42.992329 509.300000
168.305313 41.649408 666.131168
165.335691 77.223818 755.195957
306.501124 72.339574 356.320040
343.646481 87.400500 1111.868783
25.665950 65.728553 148.684966
29.332515 65.734384 150.695542
29.788540 65.734629 151.356002
298.009035 86.910352 586.319802
273.580185 26.303571 352.544850
12.550256 7.995848 552.491350
74.023348 63.379698 338.792648
100.198806 57.113769 461.796120
68.090772 40.324125 538.831560
68.676723 60.597677 415.736336
203.456368 81.713624 280.099640
259.913841 49.442795 124.776186
331.159749 43.001655 345.575423
15.302356 0.539245 295.687217
190.033013 62.721268 2194.728359
17.942138 23.821969 745.780966
85.479797 79.347762 604.475298
88.574969 28.474314 239.612772
49.309412 74.278672 403.850378
29.175401 65.731634 150.444513
200.013711 15.728080 995.949037
218.775673 53.379195 521.256009
235.641296 32.062127 1192.499821
29.782773 65.732590 151.366294
77.385070 49.296756 351.767161
120.739192 59.548024 181.569145
168.441309 -5.181472 149.810968
26.778902 28.622084 1607.660109
25.879912 65.717144 150.160564
29.414050 65.734126 150.285996
218.875701 53.282774 520.872287
107.152685 86.852687 222.467202
209.502392 81.225879 266.486297
26.292474 23.596943 518.498576
42.015769 49.625364 150.826003
359.305721 19.165505 683.321852
347.924642 87.959234 258.685473
213.929324 88.355678 238.866279
73.236447 24.060563 366.968880
115.920812 51.692875 454.089397
61.269791 73.636983 97.966764
148.010063 70.420515 390.989611
222.308448 4.307208 159.619644
79.056323 61.005107 1533.499849
257.468996 18.847878 660.995176
65.777998 42.672344 116.280278
176.889064 88.301805 1011.069832
332.926888 24.691661 526.886332
356.541881 35.914084 531.589559
234.076669 34.485319 187.079207
178.883007 83.854198 148.407752
56.527714 1.162476 228.846370
134.415051 35.700977 593.662669
321.308117 25.441678 151.774632
355.705089 52.702636 356.193612
165.051162 68.368120 862.164958
231.158113 82.149286 224.493015
38.538393 36.330940 418.519049
114.814434 41.589102 314.489758
181.421921 74.205765 156.649755
193.110536 55.641458 1030.274378
206.668762 5.234332 544.739525
262.374478 78.733900 598.651695
297.769567 85.810491 1066.088736
270.544078 24.522676 1007.688566
335.233423 46.116995 1413.095518
193.786184 86.038764 1000.513512
168.171750 69.776752 935.984307
310.301179 73.714657 139.300836
227.996419 32.878049 278.863589
59.217378 73.637709 94.830805
73.292927 11.097077 365.682757
115.114349 4.867749 616.900567
72.308842 73.655502 101.500000
195.997514 0.746622 373.850084
256.426313 40.785040 388.234392
267.705733 71.585822 920.531428
295.341627 43.840224 1869.821886
199.047168 51.752533 715.981468
248.067830 80.145472 361.226492
11.519267 48.587557 1648.243499
6.267097 12.674352 468.518466
328.232246 43.011153 501.570794
331.702501 17.370646 344.433811
67.909481 80.955704 1591.984274
143.456076 8.899971 279.882056
277.420683 59.042918 582.800194
302.509668 80.172057 687.885464
95.821874 81.636595 915.027380
111.988440 66.695003 877.272140
138.507800 61.714480 848.038556
187.990808 74.215352 157.130902
208.148045 48.252632 192.745081
284.582998 88.745255 1507.384053
136.292544 69.582287 804.484970
44.222119 73.615356 151.774956
68.977317 60.199086 623.029334
141.641680 63.098387 162.290841
58.846994 9.261985 630.322264
70.763433 71.119673 550.102964
165.856187 6.313628 338.077534
24.411339 73.541890 211.569306
159.850106 26.478481 383.356011
298.136828 23.604292 1535.128198
131.314671 29.205116 1018.796875
161.244834 40.863682 1374.871499
203.070256 60.337782 848.412332
17.728477 10.218578 147.348049
23.269856 44.564075 1121.696976
238.189499 50.925428 616.532775
261.636268 89.331669 279.574879
266.252264 79.785451 206.669767
315.197382 25.142825 381.424460
195.021576 74.219904 156.752446
348.937696 62.905713 435.879916
3.479864 49.595704 324.639023
308.443562 -7.767524 606.383227
349.342319 26.294391 496.017050
99.137772 66.649530 220.383303
41.085853 88.965682 451.934081
98.621814 64.232391 182.599075
138.131084 57.163402 324.496725
5.936843 19.236542 351.730520
166.297264 40.472548 334.576873
132.673222 8.891594 234.811730
212.925773 43.192020 700.264784
354.138354 45.670235 505.160377
65.357095 39.536891 235.520944
194.379770 45.545810 714.048314
236.136106 44.963121 587.298765
261.218125 55.010962 319.486163
24.914583 80.131865 330.667134
84.891981 59.828252 550.730497
185.358223 70.699230 679.389805
216.216528 74.627442 222.597692
232.541333 56.767877 1149.000543
240.782710 75.460817 278.997304
333.275151 -8.512825 426.076495
100.015785 43.906832 681.705160
294.879713 59.402037 1300.635755
311.847991 83.400974 1441.736316
54.714544 19.214989 790.849874
332.834442 13.829384 351.848354
29.440068 66.531837 1289.788788
35.467939 56.226908 607.282725
296.105691 39.140150 651.551118
29.412134 65.730510 153.484036
74.293738 50.599239 1037.481309
273.102099 39.181043 334.739687
331.848988 17.371176 344.610666
333.553573 40.516209 734.239366
30.124621 65.727727 152.049806
50.276988 45.618708 645.231308
291.459144 -3.695202 891.936871
108.028226 29.986996 712.679772
147.570431 18.462870 404.882928
199.205616 72.518939 913.919692
268.100595 50.858473 206.072766
357.717146 31.052716 291.810326
359.581007 51.536542 680.981985
282.435047 85.815547 507.417537
138.977341 80.889295 1873.536528
121.115966 54.810192 197.606122
356.065627 78.195785 315.923380
210.725486 74.802186 337.096067
245.396331 73.294077 1027.033400
231.203465 53.262421 770.266034
331.703540 17.369900 346.462623
74.737100 70.717540 1407.749407
192.495517 55.261462 670.585498
279.915628 7.213250 551.979998
207.057765 86.947974 777.030388
243.740678 53.244926 401.848313
65.356896 73.647588 103.604974
180.069021 61.926454 1013.905781
195.548100 32.910473 557.653500
294.156222 36.375887 498.509412
326.441880 63.142888 386.352574
35.433818 74.027106 347.692253
176.418778 52.140404 235.417029
279.888483 66.620360 242.689232
5.182758 54.251762 673.476049
268.920105 37.610617 791.746959
296.796029 26.166820 1025.736237
280.457348 48.912947 288.123677
4.089787 41.819258 226.013467
63.374318 78.119011 445.276823
129.394618 3.592882 102.315179
194.510285 82.155913 491.058491
200.884691 41.647118 1600.686903
172.868573 87.139747 1389.624953
331.832872 17.376535 348.165888
5.732208 25.259580 528.080291
48.201859 80.190340 2211.132281
164.565712 -9.052623 544.567321
176.419081 80.535787 333.329381
195.782333 43.082893 373.640277
327.082673 77.921985 559.599503
29.592694 65.731200 150.849866
29.454588 65.719626 150.133838
30.787099 57.782355 267.232908
32.851815 65.733197 157.264145
49.406408 51.577389 537.797378
55.261095 79.923509 237.673081
112.546368 81.203884 2256.045265
328.806008 66.965829 564.709718
9.731109 52.707157 1267.269976
61.467125 42.141011 286.724758
141.102748 82.297048 722.903758
264.578281 27.951261 706.415725
113.242517 40.412429 64.276405
260.376853 68.698356 800.520157
7.710951 33.104277 127.203755
85.471619 35.616195 577.354416
86.753668 18.371902 1496.956725
121.068150 52.089521 525.047817
224.347798 34.096975 684.533444
26.755207 51.159739 752.442009
47.941405 21.410428 158.787868
113.650196 27.092167 718.452907
183.581709 41.252529 523.208184
76.668194 7.237922 828.767102
260.036246 13.273117 187.165508
73.916195 89.639812 199.794212
214.796980 50.571070 498.199290
261.720334 74.560955 411.233592
340.116096 72.743275 507.224031
122.217664 46.273669 255.954084
9.578866 71.890796 533.290362
219.649889 52.899866 1016.515855
238.905049 79.851790 529.584879
243.778396 22.394103 178.747159
